%%TimeStamp	dp_x	dp_y	dp_z	dv_x	dv_y	dv_z	dq_x	dq_y	dq_z	dq_w	Dp_x	Dp_y	Dp_z	Dv_x	Dv_y	Dv_z	Dq_x	Dq_y	Dq_z	Dq_w	X_x	X_y	X_z	Xv_x	Xv_y	Xv_z	Xq_x	Xq_y	Xq_z	Xq_w	
0.023	-1.54954e-08	-7.26245e-08	4.81335e-06	-3.09908e-05	-0.000145249	0.0096267	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0229977	0.0460168	0.0434225	0.999716	2.00217	1.77658	0.999998	-0.000802851	0.000401426	-0.00200713	0.0459977	-1.68441e-05	-1.46464e-05	1.99972	-0.00216858	-0.00197724	-0.00200713	-0.000401426	-0.000802851	-0.999998
0.024	-1.61717e-08	-7.57945e-08	4.80939e-06	-3.23434e-05	-0.000151589	0.00961877	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0239975	0.0480191	0.0451943	0.999692	2.00236	1.76696	0.999997	-0.000837758	0.000418879	-0.00209439	0.0479975	-1.91078e-05	-1.67146e-05	1.99969	-0.00235883	-0.00215913	-0.00209439	-0.000418879	-0.000837758	-0.999997
0.025	-1.68482e-08	-7.8966e-08	4.80542e-06	-3.36964e-05	-0.000157932	0.00961084	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0249971	0.0500216	0.0469565	0.999666	2.00256	1.75735	0.999997	-0.000872664	0.000436332	-0.00218166	0.0499971	-2.15657e-05	-1.89687e-05	1.99967	-0.00255706	-0.00234901	-0.00218166	-0.000436332	-0.000872664	-0.999997
0.026	-1.75249e-08	-8.2138e-08	4.80145e-06	-3.50498e-05	-0.000164276	0.00960291	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0259968	0.0520242	0.048709	0.99964	2.00276	1.74775	0.999997	-0.000907571	0.000453785	-0.00226893	0.0519968	-2.42259e-05	-2.14167e-05	1.99964	-0.00276329	-0.00254689	-0.00226893	-0.000453785	-0.000907571	-0.999997
0.027	-1.82019e-08	-8.5311e-08	4.7975e-06	-3.64037e-05	-0.000170622	0.00959499	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0269964	0.0540271	0.050452	0.999613	2.00298	1.73815	0.999997	-0.000942477	0.000471239	-0.00235619	0.0539964	-2.70963e-05	-2.40665e-05	1.99961	-0.00297751	-0.00275274	-0.00235619	-0.000471239	-0.000942477	-0.999997
0.028	-1.8879e-08	-8.8485e-08	4.79353e-06	-3.77579e-05	-0.00017697	0.00958706	8.72665e-05	1.74533e-05	3.49066e-05	1	0.027996	0.0560302	0.0521853	0.999584	2.0032	1.72857	0.999996	-0.000977384	0.000488692	-0.00244346	0.055996	-3.01849e-05	-2.69261e-05	1.99958	-0.00319972	-0.00296659	-0.00244346	-0.000488692	-0.000977384	-0.999996
0.029	-1.95563e-08	-9.16595e-08	4.78958e-06	-3.91126e-05	-0.000183319	0.00957915	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0289956	0.0580335	0.0539091	0.999555	2.00343	1.71899	0.999996	-0.00101229	0.000506145	-0.00253073	0.0579956	-3.34997e-05	-3.00036e-05	1.99955	-0.00342992	-0.00318842	-0.00253073	-0.000506145	-0.00101229	-0.999996
0.03	-2.02338e-08	-9.4835e-08	4.78561e-06	-4.04677e-05	-0.00018967	0.00957123	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0299951	0.060037	0.0556233	0.999525	2.00367	1.70942	0.999996	-0.0010472	0.000523598	-0.00261799	0.0599951	-3.70487e-05	-3.3307e-05	1.99952	-0.0036681	-0.00341823	-0.00261799	-0.000523598	-0.0010472	-0.999996
0.031	-2.09117e-08	-9.80115e-08	4.78166e-06	-4.18233e-05	-0.000196023	0.00956332	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0309946	0.0620408	0.0573279	0.999493	2.00391	1.69986	0.999996	-0.0010821	0.000541052	-0.00270526	0.0619946	-4.08399e-05	-3.68441e-05	1.99949	-0.00391427	-0.00365603	-0.00270526	-0.000541052	-0.0010821	-0.999996
0.032	-2.15896e-08	-1.01189e-07	4.77771e-06	-4.31792e-05	-0.000202377	0.00955541	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0319941	0.0640449	0.059023	0.999461	2.00417	1.6903	0.999995	-0.00111701	0.000558505	-0.00279252	0.0639941	-4.48813e-05	-4.0623e-05	1.99946	-0.00416842	-0.00390182	-0.00279252	-0.000558505	-0.00111701	-0.999995
0.033	-2.22678e-08	-1.04367e-07	4.77376e-06	-4.45356e-05	-0.000208733	0.00954751	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0329935	0.0660492	0.0607086	0.999428	2.00443	1.68076	0.999995	-0.00115192	0.000575958	-0.00287979	0.0659935	-4.91808e-05	-4.46517e-05	1.99943	-0.00443056	-0.00415558	-0.00287979	-0.000575958	-0.00115192	-0.999995
0.034	-2.29462e-08	-1.07545e-07	4.76981e-06	-4.58923e-05	-0.00021509	0.00953961	8.72665e-05	1.74533e-05	3.49066e-05	1	0.033993	0.0680537	0.0623845	0.999393	2.0047	1.67122	0.999995	-0.00118682	0.000593411	-0.00296706	0.067993	-5.37464e-05	-4.89382e-05	1.99939	-0.00470069	-0.00441732	-0.00296706	-0.000593411	-0.00118682	-0.999995
0.035	-2.36248e-08	-1.10725e-07	4.76586e-06	-4.72495e-05	-0.000221449	0.00953171	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0349923	0.0700586	0.064051	0.999358	2.00498	1.66169	0.999994	-0.00122173	0.000610864	-0.00305432	0.0699923	-5.85861e-05	-5.34903e-05	1.99936	-0.00497879	-0.00468704	-0.00305432	-0.000610864	-0.00122173	-0.999994
